,MLP (SGD)
0,0.5595084199006953
1,0.280680793135817
2,0.9197576107398568
3,0.267247180816819
4,0.25632689033200884
5,0.21662469688425925
6,0.27330167212152173
7,0.6522943047883716
8,0.015321358298437778
9,0.5134475521302849
10,0.022625902579668147
11,0.04262463436586508
12,0.36181258928046595
13,0.2512526811289082
14,0.11335202475922025
15,0.04343383258035374
16,0.047004398724648885
17,0.054951853407291064
18,0.5510683510348434
19,0.115360643158724
20,0.40108453181449955
21,0.653866569339499
22,0.4123748646455903
23,0.03836807276663562
24,0.368602893875101
25,0.16148680250827546
26,0.6880965042514274
27,0.478393225153755
28,0.4833517704158074
29,0.7303094226601616
