,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,62,99310,8512,183
1,224,256715,4636,141
2,116,270423,3690,404
3,110,447966,2632,23
4,179,164292,6983,33
5,485,293255,126875,236
6,114,755905,4303,61
7,133,6323,4292,213
8,147,11561,14553,71
9,205,355209,3166,199
10,327,71506,34974,188
11,148,432295,60658,163
12,498,47279,16398,283
13,157,548565,42245,356
14,65,224071,1223,254
15,346,89877,37513,97
16,430,48912,9995,104
17,51,666408,3113,298
18,175,510926,74671,266
19,6812,41879,3288,305
20,58,246012,1357,190
21,460,106453,57002,45
22,303,254268,23117,311
23,145,426552,20514,104
24,50,134643,3721,89
25,52,156272,22467,299
26,197,301435,119154,278
27,89,550294,5741,277
28,118,132924,528759,204
29,170,259715,131968,394
