,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,1,388,77,2
1,1,398,418,1
2,1,395,150,4
3,5,402,449,1
4,1,306,325,1
5,21,411,306,2
6,1,446,332,3
7,5,261,489,7
8,1,490,432,1
9,1,453,230,2
10,3,311,270,2
11,2,397,461,3
12,3,126,201,3
13,2,447,441,4
14,2,340,426,2
15,16,226,457,1
16,8,258,428,2
17,1,498,490,2
18,8,424,404,2
19,35,226,352,5
20,2,367,186,2
21,4,401,495,3
22,5,381,446,2
23,1,399,403,2
24,1,454,441,4
25,2,482,196,3
26,6,429,430,3
27,3,451,460,2
28,1,449,397,2
29,3,308,382,3
