,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,2,1159,296,11
1,19,1983,202,9
2,5,2002,152,27
3,6,2840,111,2
4,20,1552,302,2
5,22,2048,1634,17
6,9,4077,165,4
7,6,262,167,20
8,15,491,495,6
9,17,2312,135,10
10,27,945,815,9
11,16,2789,1009,11
12,49,884,503,12
13,10,3178,832,16
14,3,1773,58,11
15,17,1115,865,6
16,24,763,305,15
17,2,3495,138,14
18,9,3063,1133,17
19,320,701,140,19
20,3,1871,57,18
21,52,1210,993,4
22,25,1925,522,20
23,9,2770,614,8
24,2,1357,171,5
25,3,1463,582,34
26,13,2116,1309,22
27,4,3170,241,12
28,21,1355,3411,11
29,18,2169,1512,40
